Time: 0.00s, Throughput: 2277 ops/s, Avg Latency: 0.00046 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 1.06s, Throughput: 2545 ops/s, Avg Latency: 0.00039 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 2.07s, Throughput: 2665 ops/s, Avg Latency: 0.00037 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 3.08s, Throughput: 2242 ops/s, Avg Latency: 0.00044 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 4.09s, Throughput: 2448 ops/s, Avg Latency: 0.00041 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 5.09s, Throughput: 2234 ops/s, Avg Latency: 0.00045 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 6.10s, Throughput: 2144 ops/s, Avg Latency: 0.00049 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 7.16s, Throughput: 2128 ops/s, Avg Latency: 0.00047 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 8.17s, Throughput: 2524 ops/s, Avg Latency: 0.00039 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 9.17s, Throughput: 2363 ops/s, Avg Latency: 0.00042 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 10.18s, Throughput: 2266 ops/s, Avg Latency: 0.00044 s, Avg CPU Usage: 3.6421128181818183m, Avg Memory Usage: 12.328125Mi
Time: 11.19s, Throughput: 2698 ops/s, Avg Latency: 0.00037 s, Avg CPU Usage: 23.01997390909091m, Avg Memory Usage: 12.428977272727273Mi
Time: 12.20s, Throughput: 2480 ops/s, Avg Latency: 0.00042 s, Avg CPU Usage: 23.01997390909091m, Avg Memory Usage: 12.428977272727273Mi
Time: 13.26s, Throughput: 2720 ops/s, Avg Latency: 0.00037 s, Avg CPU Usage: 23.01997390909091m, Avg Memory Usage: 12.428977272727273Mi
Time: 14.27s, Throughput: 2237 ops/s, Avg Latency: 0.00044 s, Avg CPU Usage: 23.01997390909091m, Avg Memory Usage: 12.428977272727273Mi
Time: 15.27s, Throughput: 2311 ops/s, Avg Latency: 0.00043 s, Avg CPU Usage: 23.01997390909091m, Avg Memory Usage: 12.428977272727273Mi
Time: 16.28s, Throughput: 2445 ops/s, Avg Latency: 0.00041 s, Avg CPU Usage: 23.01997390909091m, Avg Memory Usage: 12.428977272727273Mi
Time: 17.29s, Throughput: 2664 ops/s, Avg Latency: 0.00037 s, Avg CPU Usage: 23.01997390909091m, Avg Memory Usage: 12.428977272727273Mi
Time: 18.30s, Throughput: 2351 ops/s, Avg Latency: 0.00042 s, Avg CPU Usage: 23.01997390909091m, Avg Memory Usage: 12.428977272727273Mi
Time: 19.30s, Throughput: 2439 ops/s, Avg Latency: 0.00041 s, Avg CPU Usage: 23.01997390909091m, Avg Memory Usage: 12.428977272727273Mi
Time: 20.31s, Throughput: 2333 ops/s, Avg Latency: 0.00044 s, Avg CPU Usage: 23.01997390909091m, Avg Memory Usage: 12.428977272727273Mi
